Prague+Castle/@50.0910966,14.3990416
Malostranské+nám.,+118+00+Malá+Strana,+Czechia/@50.0877362,14.3983826
Cafe+Slavia/@50.0833669,14.4063766
MeetFactory/@50.0532585,14.4055803
Žižkov+Television+Tower/@50.0807289,14.4520455
Obecní+Dům/@50.0877208,14.4252159
Charles+Bridge+Economic+Hostel/@50.0873694,14.4039584

Malostranská+beseda/@50.0883429,14.4022738
Míšeňská,+118+00+Malá+Strana,+Czechia/@50.0876662,14.4051765
A+Studio+Rubín/@50.0874634,14.398027
Museum+of+Alchemists+and+Magicians+of+Old+Prague/@50.0874634,14.398027
Divadlo+Inspirace/@50.0884457,14.3971207
On+The+Roc's/@50.0877174,14.4029237

Clown+%26+Bard+Hostel/@50.0834109,14.4434615
Florenc+Bus+Terminal/@50.0892903,14.440318
Cafe+Pod+Lipami/@50.099997,14.4206818
Duende+café+-+bar/@50.084227,14.4116042
Vila+Lanna/@50.0746013,14.348978
Mlýnská+kavárna/@50.0829086,14.4071463
